	Masse A	
t	y	
0,000000E0	2,067516E0
8,307449E-3	2,067516E0
1,661490E-2	2,064675E0
2,492235E-2	2,060430E0
3,322980E-2	2,053375E0
4,153725E-2	2,049130E0
4,984470E-2	2,043480E0
5,815215E-2	2,040671E0
6,645960E-2	2,036426E0
7,476705E-2	2,032181E0
8,307449E-2	2,026499E0
9,138194E-2	2,020817E0
9,968939E-2	2,018042E0
1,079968E-1	2,012425E0
1,163043E-1	2,008211E0
1,246117E-1	2,003998E0
1,329192E-1	1,996943E0
1,412266E-1	1,988517E0
1,495341E-1	1,980090E0
1,578415E-1	1,974472E0
1,661490E-1	1,970226E0
1,744564E-1	1,960427E0
1,827639E-1	1,949223E0
1,910713E-1	1,939328E0
1,993788E-1	1,929465E0
2,076862E-1	1,914047E0
2,159937E-1	1,902811E0
2,243011E-1	1,887362E0
2,326086E-1	1,876094E0
2,409160E-1	1,863454E0
2,492235E-1	1,847909E0
2,575309E-1	1,835269E0
2,658384E-1	1,817011E0
2,741458E-1	1,805775E0
2,824533E-1	1,781835E0
2,907607E-1	1,770631E0
2,990682E-1	1,749596E0
3,073756E-1	1,731274E0
3,156831E-1	1,717229E0
3,239905E-1	1,696162E0
3,322980E-1	1,675063E0
3,406054E-1	1,656805E0
3,489129E-1	1,635706E0
3,572203E-1	1,611829E0
3,655278E-1	1,592167E0
3,738352E-1	1,572504E0
3,821427E-1	1,540137E0
3,904501E-1	1,512048E0
3,987576E-1	1,490980E0
4,070650E-1	1,462891E0
4,153725E-1	1,438983E0
4,236799E-1	1,412234E0
4,319874E-1	1,385549E0
4,402948E-1	1,356055E0
4,486023E-1	1,326529E0
4,569097E-1	1,299812E0
4,652172E-1	1,267445E0
4,735246E-1	1,239419E0
4,818321E-1	1,208521E0
4,901395E-1	1,183272E0
4,984470E-1	1,145224E0
5,067544E-1	1,111548E0
5,150619E-1	1,083459E0
5,233693E-1	1,048315E0
5,316768E-1	1,018821E0
5,399842E-1	9,766863E-1
5,482917E-1	9,485649E-1
5,565991E-1	9,134529E-1
5,649066E-1	8,726274E-1
5,732140E-1	8,403244E-1
5,815215E-1	8,009671E-1
5,898289E-1	7,672597E-1
5,981364E-1	7,307113E-1
6,064438E-1	6,758729E-1
6,147513E-1	6,548376E-1
6,230587E-1	6,141077E-1
6,313662E-1	5,719415E-1
6,396736E-1	5,353932E-1
6,479811E-1	4,946314E-1
6,562885E-1	4,524652E-1
6,645960E-1	4,131398E-1
6,729034E-1	3,695691E-1
6,812109E-1	3,259984E-1
6,895183E-1	2,824914E-1
6,978258E-1	2,431023E-1
7,061332E-1	1,953181E-1
7,144407E-1	1,461295E-1
7,227481E-1	1,110813E-1
7,310556E-1	6,885132E-2
